"name"	"SN1994I"
"source"	"name"	"<a href='https://www.nhn.ou.edu/~suspect/'>SUSPECT</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1996AJ....111..327R&amp;db_key=AST'>1996AJ....111..327R</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"M.Richmond, E-mail"	"alias"	"4"
"source"	"name"	"G.C.L.Aikman, D.D.Balam, IAU Circ. 5964"	"alias"	"5"
"source"	"name"	"T.Kato, E-mail"	"alias"	"6"
"source"	"name"	"T.Yokoo et al, PASJ, 46, L191-L193, 1994"	"alias"	"7"
"source"	"name"	"D.Yu.Tsvetkov, N.N.Pavlyuk, PAZh, 21, 678, 1995"	"alias"	"8"
"source"	"name"	"H.Mikuz, IAU Circ. 5972, 5990"	"alias"	"9"
"source"	"name"	"L.V.Morrison,R.W.Argyl,IAU Circ. 5999"	"alias"	"10"
"source"	"name"	"Unknown,?"	"alias"	"11"
"claimedtype"	"Ic"
"discoverday"	"31"
"discoverer"	"Puckett et al."
"discovermonth"	"3"
"discoveryear"	"1994"
"galdec"	"+471143"
"galra"	"132953"
"host"	"NGC 5194"
"hvel"	"461"
"maxday"	"10"
"maxmonth"	"4"
"maxyear"	"1994"
"redshift"	"0.00154"
"sndec"	"+471130.50"
"snra"	"132954.072"
"photometry"	"timeunit"	"MJD"	"time"	"49442.43"	"band"	"V"	"abmag"	"15.88"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49442.96"	"band"	"V"	"abmag"	"15.5"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49444.02"	"band"	"R"	"abmag"	"14.5"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49444.45"	"band"	"V"	"abmag"	"14.03"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49444.45"	"band"	"I"	"abmag"	"13.78"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49444.45"	"band"	"B"	"abmag"	"14.41"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49444.45"	"band"	"R"	"abmag"	"13.87"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49444.5"	"band"	"B"	"abmag"	"14.38"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49444.5"	"band"	"I"	"abmag"	"13.82"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49444.5"	"band"	"R"	"abmag"	"13.87"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49444.5"	"band"	"V"	"abmag"	"14"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49444.52"	"band"	"R"	"abmag"	"13.77"	"aberr"	"0.11"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49444.52"	"band"	"V"	"abmag"	"14.13"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49444.52"	"band"	"I"	"abmag"	"13.75"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49445.18"	"band"	"B"	"abmag"	"14.2"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"49445.18"	"band"	"R"	"abmag"	"13.61"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"49445.18"	"band"	"V"	"abmag"	"13.74"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"49445.37"	"band"	"R"	"abmag"	"13.5"	"aberr"	"0.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49445.37"	"band"	"V"	"abmag"	"13.78"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49445.37"	"band"	"I"	"abmag"	"13.43"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49445.4"	"band"	"I"	"abmag"	"13.55"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49445.4"	"band"	"R"	"abmag"	"13.43"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49445.4"	"band"	"V"	"abmag"	"13.54"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49446.4"	"band"	"B"	"abmag"	"13.97"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49446.4"	"band"	"I"	"abmag"	"13.19"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49446.4"	"band"	"R"	"abmag"	"13.2"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49446.4"	"band"	"U"	"abmag"	"13.79"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49446.4"	"band"	"V"	"abmag"	"13.38"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49446.42"	"band"	"R"	"abmag"	"13.21"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49446.42"	"band"	"V"	"abmag"	"13.39"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49446.42"	"band"	"I"	"abmag"	"13.09"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49446.42"	"band"	"B"	"abmag"	"13.97"	"aberr"	"0.08"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.39"	"band"	"V"	"abmag"	"13.21"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.39"	"band"	"I"	"abmag"	"12.9"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.39"	"band"	"B"	"abmag"	"13.95"	"aberr"	"0.02"	"source"	"1,2"
