"name"	"SN2012ai"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003029.txt'>CBET 3029</a>"	"alias"	"2"
"aliases"	"SN2012ai,PSN J09075883+4142199"
"claimedtype"	"II"
"discoverday"	"21"
"discoverer"	"Doug Rich"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"+414232"
"galra"	"090758"
"host"	"NGC 2755"
"hvel"	"7547"
"maxday"	"21"
"maxmonth"	"2"
"maxyear"	"2012"
"redshift"	"0.0252"
"sndec"	"+41:42:19.9"
"snra"	"09:07:58.83"
"photometry"	"timeunit"	"MJD"	"time"	"55978.5"	"abmag"	"17.4"	"source"	"2,1"
