"name"	"SN2014cl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003950.txt'>CBET 3950</a>"	"alias"	"2"
"aliases"	"SN2014cl,PSN J02160910-1156026"
"claimedtype"	"IIb"
"discoverday"	"15"
"discoverer"	"CHASE"
"discovermonth"	"6"
"discoveryear"	"2014"
"galdec"	"-115537"
"galra"	"021610"
"host"	"IC 217"
"hvel"	"1902"
"maxday"	"15"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.006304"
"sndec"	"-11:56:02.6"
"snra"	"02:16:09.10"
"photometry"	"timeunit"	"MJD"	"time"	"56823.5"	"abmag"	"17.5"	"source"	"2,1"
