"name"	"MLS140102:120307-010132"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://nesssi.cacr.caltech.edu/catalina/AllSN.html'>CRTS SN page</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"aliases"	"MLS140102:120307-010132,CSS140126:120307-010132"
"claimedtype"	"Ia-pec"
"discoverday"	"1"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2014"
"maxday"	"1"
"maxmonth"	"1"
"maxyear"	"2014"
"redshift"	"0.06"
"sndec"	"-01:01:31.7"
"snra"	"12:03:06.88"
"photometry"	"timeunit"	"MJD"	"time"	"56658.5"	"abmag"	"18.4"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56660.476"	"band"	"C"	"abmag"	"19.4"	"source"	"3,1"
