"name"	"PTF13ani"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5061'>ATEL 5061</a>"	"alias"	"2"
"aliases"	"PTF13ani,CSS130429:140715+090322"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"PTF"
"discovermonth"	"4"
"discoveryear"	"2013"
"maxday"	"17"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.13"
"sndec"	"+09:03:22.1"
"snra"	"14:07:15.02"
"photometry"	"timeunit"	"MJD"	"time"	"56399.5"	"abmag"	"19.7"	"source"	"2,1"
