"name"	"SN2001is"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"Unknown,?"	"alias"	"2"
"claimedtype"	"Ib"
"discoverday"	"22"
"discoverer"	"BAOSS"
"discovermonth"	"12"
"discoveryear"	"2001"
"galdec"	"+692243"
"galra"	"054205"
"host"	"NGC 1961"
"hvel"	"3983"
"maxday"	"30"
"maxmonth"	"12"
"maxyear"	"2001"
"redshift"	"0.0134"
"sndec"	"+692154.5"
"snra"	"054209.12"
"photometry"	"timeunit"	"MJD"	"time"	"52265.56"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52266.73"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52267.3"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52269.4"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52269.53"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52273.98"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
