"name"	"SN2007ro"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+001347"
"galra"	"014428"
"host"	"A014428+0013"
"hvel"	"46700"
"maxday"	"19"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.17"
"sndec"	"+001347.2"
"snra"	"014428.97"
"photometry"	"timeunit"	"MJD"	"time"	"54409.0"	"band"	"g"	"abmag"	"21.5"	"source"	"1"
