"name"	"SN2013ce"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003515.txt'>CBET 3515</a>"	"alias"	"2"
"aliases"	"SN2013ce,PSN J11355080+3417027"
"claimedtype"	"II"
"discoverday"	"30"
"discoverer"	"MASTER"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+341656"
"galra"	"113551"
"host"	"PGC 35860"
"hvel"	"6320"
"maxday"	"30"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.021"
"sndec"	"+34:17:02.7"
"snra"	"11:35:50.80"
"photometry"	"timeunit"	"MJD"	"time"	"56412.5"	"abmag"	"17.3"	"source"	"2,1"
