"name"	"SN2006B"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"M.Hicken et al., 2009, astro-ph/0901.4787"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"Puckett, Sostero"
"discovermonth"	"1"
"discoveryear"	"2006"
"galdec"	"+332358"
"galra"	"232110"
"host"	"UGC 12538"
"hvel"	"4897"
"maxday"	"9"
"maxmonth"	"1"
"maxyear"	"2006"
"redshift"	"0.0165"
"sndec"	"+332401.2"
"snra"	"232109.78"
"photometry"	"timeunit"	"MJD"	"time"	"53744.59168"	"band"	"V"	"abmag"	"16.64"	"aberr"	"0.017"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53744.59735"	"band"	"B"	"abmag"	"17.619"	"aberr"	"0.025"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53767.59209"	"band"	"V"	"abmag"	"18.151"	"aberr"	"0.035"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53767.5978"	"band"	"B"	"abmag"	"19.512"	"aberr"	"0.099"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53767.60447"	"band"	"U"	"abmag"	"20.198"	"aberr"	"0.434"	"source"	"1,2"
