"name"	"SN2010cw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002200/CBET002287.txt'>CBET 2287</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010cw,CSS100411:093357+384836"
"discoverday"	"10"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2010"
"galdec"	"+384835"
"galra"	"093356"
"host"	"A093356+3848"
"maxday"	"10"
"maxmonth"	"4"
"maxyear"	"2010"
"sndec"	"+38:48:35.7"
"snra"	"09:33:56.84"
"photometry"	"timeunit"	"MJD"	"time"	"55296.5"	"abmag"	"17.8"	"source"	"2,1"
