"name"	"SN2012hw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003353.txt'>CBET 3353</a>"	"alias"	"2"
"aliases"	"SN2012hw,PSN J09413802+4840255"
"claimedtype"	"IIP"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2012"
"galdec"	"+484014"
"galra"	"094138"
"host"	"MCG +8-18-23"
"hvel"	"11408"
"maxday"	"11"
"maxmonth"	"12"
"maxyear"	"2012"
"redshift"	"0.038054"
"sndec"	"+48:40:25.5"
"snra"	"09:41:38.02"
"photometry"	"timeunit"	"MJD"	"time"	"56272.5"	"abmag"	"16.8"	"source"	"2,1"
