"name"	"SN2011ef"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002772.txt'>CBET 2772</a>"	"alias"	"2"
"aliases"	"SN2011ef,PSN J23305702+1529243"
"claimedtype"	"IIb"
"discoverday"	"16"
"discoverer"	"LOSS"
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"+152926"
"galra"	"233057"
"host"	"UGC 12640"
"hvel"	"4009"
"maxday"	"16"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.0134"
"sndec"	"+15:29:24.2"
"snra"	"23:30:57.02"
"photometry"	"timeunit"	"MJD"	"time"	"55850.5"	"abmag"	"16.0"	"source"	"2,1"
