"name"	"SN2012as"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003044.txt'>CBET 3044</a>"	"alias"	"2"
"aliases"	"SN2012as,PSN J15250852+3757494"
"claimedtype"	"IIn/LBV"
"discoverday"	"18"
"discoverer"	"Xing Gao et al."
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"+375737"
"galra"	"152506"
"host"	"UGC 9842"
"hvel"	"8799"
"maxday"	"18"
"maxmonth"	"2"
"maxyear"	"2012"
"redshift"	"0.0297"
"sndec"	"+37:57:49.4"
"snra"	"15:25:08.52"
"photometry"	"timeunit"	"MJD"	"time"	"55975.5"	"abmag"	"17.6"	"source"	"2,1"
