"name"	"SN2006ls"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"I pec"
"discoverday"	"17"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-003435"
"galra"	"014840"
"host"	"A014840-0034"
"hvel"	"39100"
"maxday"	"1"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.14"
"sndec"	"-003435.7"
"snra"	"014840.56"
"photometry"	"timeunit"	"MJD"	"time"	"54025.0"	"band"	"g"	"abmag"	"21.5"	"source"	"1"
