"name"	"SN2011gb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002834.txt'>CBET 2834</a>"	"alias"	"2"
"aliases"	"SN2011gb,PSN J01334294+3448371"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+344838"
"galra"	"013343"
"host"	"A013343+3448"
"hvel"	"4200"
"maxday"	"4"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.014"
"sndec"	"+34:48:37.0"
"snra"	"01:33:42.93"
"photometry"	"timeunit"	"MJD"	"time"	"55869.5"	"abmag"	"15.7"	"source"	"2,1"
