"name"	"HST04Man"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://arxiv.org/pdf/astro-ph/0611572.pdf'>Paper</a>"	"alias"	"2"
"aliases"	"HST04Man,K0405-004"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"HST"
"discovermonth"	"5"
"discoveryear"	"2004"
"maxday"	"19"
"maxmonth"	"5"
"maxyear"	"2004"
"redshift"	"0.854"
"sndec"	"+62:15:49.1"
"snra"	"12:36:34.81"
"photometry"	"timeunit"	"MJD"	"time"	"53144.5"	"abmag"	"23.2"	"source"	"2,1"
