"name"	"SN2006nv"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-005838"
"galra"	"001229"
"host"	"A001229-0058"
"hvel"	"74700"
"maxday"	"3"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.29"
"sndec"	"-005838.2"
"snra"	"001229.86"
"photometry"	"timeunit"	"MJD"	"time"	"54036.0"	"band"	"g"	"abmag"	"22.1"	"source"	"1"
