"name"	"SN2010aw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002218.txt'>CBET 2218</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010aw,PTF10dvb"
"claimedtype"	"II"
"discoverday"	"18"
"discoverer"	"LOSS"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"+314732"
"galra"	"171611"
"host"	"UGC 10781"
"hvel"	"6878"
"maxday"	"18"
"maxmonth"	"3"
"maxyear"	"2010"
"redshift"	"0.023"
"sndec"	"+31:47:36.4"
"snra"	"17:16:12.28"
"photometry"	"timeunit"	"MJD"	"time"	"55273.5"	"abmag"	"18.3"	"source"	"2,1"
