"name"	"SN2003jj"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"ESSENCE"
"discovermonth"	"10"
"discoveryear"	"2003"
"galdec"	"+000301"
"galra"	"010758"
"host"	"A010758+0003"
"hvel"	"131000"
"maxday"	"23"
"maxmonth"	"10"
"maxyear"	"2003"
"redshift"	"0.6"
"sndec"	"+000301.9"
"snra"	"010758.52"
"photometry"	"timeunit"	"MJD"	"time"	"52934.0"	"band"	"R"	"abmag"	"23.1"	"source"	"1"
