"name"	"PSN J10491665-1938253"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J10491665-1938253.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J10491665-1938253,PS15um"
"claimedtype"	"IIP"
"discoverday"	"19"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"2"
"discoveryear"	"2015"
"host"	"ESO 569-G12"
"maxday"	"19"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.01"
"sndec"	"-19:38:25.3"
"snra"	"10:49:16.65"
"photometry"	"timeunit"	"MJD"	"time"	"57072.5"	"abmag"	"16.8"	"source"	"2,1"
