"name"	"SN2007qu"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+005132"
"galra"	"223232"
"host"	"A223232+0051"
"hvel"	"79000"
"maxday"	"15"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.31"
"sndec"	"+005132.7"
"snra"	"223232.82"
"photometry"	"timeunit"	"MJD"	"time"	"54408.0"	"band"	"g"	"abmag"	"22.3"	"source"	"1"
