"name"	"SN1994C"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"W.C.C.Ho et al., 2001, PASP, 113, 1349; astro-ph/0108299"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Mueller"
"discovermonth"	"3"
"discoveryear"	"1994"
"galdec"	"+445212"
"galra"	"075640"
"host"	"M+08-15-23"
"hvel"	"15300"
"maxday"	"14"
"maxmonth"	"3"
"maxyear"	"1994"
"redshift"	"0.0524"
"sndec"	"+445219.3"
"snra"	"075640.27"
"photometry"	"timeunit"	"MJD"	"time"	"49423.27"	"band"	"R"	"abmag"	"18.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49423.27"	"band"	"V"	"abmag"	"18.83"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49425.2"	"band"	"B"	"abmag"	"20.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49425.2"	"band"	"I"	"abmag"	"18.08"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49425.2"	"band"	"R"	"abmag"	"18.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49425.2"	"band"	"V"	"abmag"	"18.88"	"source"	"1,2"
