"name"	"SN2013bl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003484.txt'>CBET 3484</a>"	"alias"	"2"
"aliases"	"SN2013bl,PSN J08461506+4134400"
"claimedtype"	"Ibc"
"discoverday"	"6"
"discoverer"	"Doug Rich"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+413447"
"galra"	"084614"
"host"	"UGC 4578"
"hvel"	"9103"
"maxday"	"6"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.030364"
"sndec"	"+41:34:40.0"
"snra"	"08:46:15.06"
"photometry"	"timeunit"	"MJD"	"time"	"56388.5"	"abmag"	"18.0"	"source"	"2,1"
