"name"	"SN2012ca"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003101.txt'>CBET 3101</a>"	"alias"	"2"
"aliases"	"SN2012ca,PSN J18410706-4147374"
"claimedtype"	"IIn"
"discoverday"	"24"
"discoverer"	"Stu Parker"
"discovermonth"	"4"
"discoveryear"	"2012"
"galdec"	"-414742"
"galra"	"184108"
"host"	"ESO 336-G9"
"hvel"	"5822"
"maxday"	"24"
"maxmonth"	"4"
"maxyear"	"2012"
"redshift"	"0.019"
"sndec"	"-41:47:37.4"
"snra"	"18:41:07.06"
"photometry"	"timeunit"	"MJD"	"time"	"56041.5"	"abmag"	"14.5"	"source"	"2,1"
