"name"	"SN2010ay"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"Sanders et al., 2011"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ic"
"discoverday"	"24"
"discoverer"	"Drake et al."
"discovermonth"	"2"
"discoveryear"	"2010"
"galdec"	"+270403"
"galra"	"123527"
"host"	"A123527+2704"
"hvel"	"20100"
"maxday"	"16"
"maxmonth"	"3"
"maxyear"	"2010"
"redshift"	"0.0695"
"sndec"	"+270402.8"
"snra"	"123527.19"
"photometry"	"timeunit"	"MJD"	"time"	"55251.7"	"band"	"R"	"abmag"	"21.105"	"aberr"	"0.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"55259.9"	"band"	"R"	"abmag"	"18.205"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"55271.9"	"band"	"R"	"abmag"	"17.505"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"55276.7"	"band"	"R"	"abmag"	"17.685"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"55286.5"	"band"	"R"	"abmag"	"18.705"	"aberr"	"0.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"55296.5"	"band"	"R"	"abmag"	"18.905"	"aberr"	"0.1"	"source"	"1,2"
