"name"	"PSN J10593600+0612566"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J10593600+0612566.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J10593600+0612566,SNhunt219"
"claimedtype"	"unk"
"discoverday"	"6"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2013"
"maxday"	"6"
"maxmonth"	"12"
"maxyear"	"2013"
"sndec"	"+06:12:56.6"
"snra"	"10:59:36.00"
"photometry"	"timeunit"	"MJD"	"time"	"56632.5"	"abmag"	"18.9"	"source"	"2,1"
