"name"	"iPTF13efs"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5672'>ATEL 5672</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"aliases"	"iPTF13efs,PS1-14fu"
"claimedtype"	"II"
"discoverday"	"19"
"discoverer"	"PTF"
"discovermonth"	"12"
"discoveryear"	"2013"
"maxday"	"19"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.04"
"sndec"	"+52:48:17.9"
"snra"	"07:55:26.19"
"photometry"	"timeunit"	"MJD"	"time"	"56645.5"	"abmag"	"18.9"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56646.313"	"band"	"C"	"abmag"	"18.9"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56654.35"	"band"	"C"	"abmag"	"19.1"	"source"	"3,1"
