"name"	"SN2006sf"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"ESSENCE"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-035140"
"galra"	"020811"
"host"	"A020811-0351"
"hvel"	"131000"
"maxday"	"7"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.6"
"sndec"	"-035140.2"
"snra"	"020811.65"
"photometry"	"timeunit"	"MJD"	"time"	"54053.0"	"band"	"R"	"abmag"	"22.5"	"source"	"1"
