"name"	"SN2009ng"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002101.txt'>CBET 2101</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ng,CSS091121:013728+253450"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"+253450"
"galra"	"013728"
"host"	"A013728+2534"
"maxday"	"20"
"maxmonth"	"11"
"maxyear"	"2009"
"sndec"	"+25:34:50.2"
"snra"	"01:37:28.24"
"photometry"	"timeunit"	"MJD"	"time"	"55155.5"	"abmag"	"17.9"	"source"	"2,1"
