"name"	"SN1667?"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://en.wikipedia.org/wiki/Cassiopeia_A'>WikiPedia</a>"	"alias"	"2"
"aliases"	"SN1667?,Cassiopeia A"
"claimedtype"	"unk"
"discoverday"	"31"
"discoverer"	"unknown"
"discovermonth"	"12"
"discoveryear"	"1969"
"host"	"Milky Way"
"maxday"	"31"
"maxmonth"	"12"
"maxyear"	"1969"
"sndec"	"+58:48:42.0"
"snra"	"23:23:27.9"
"photometry"	"timeunit"	"MJD"	"time"	"40586.5"	"abmag"	"6.0"	"source"	"2,1"
