"name"	"SN2006qb"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-001203"
"galra"	"032814"
"host"	"A032814-0012"
"hvel"	"83200"
"maxday"	"12"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.33"
"sndec"	"-001203.5"
"snra"	"032814.65"
"photometry"	"timeunit"	"MJD"	"time"	"54055.0"	"band"	"g"	"abmag"	"22.3"	"source"	"1"
