"name"	"SN2013cl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003524.txt'>CBET 3524</a>"	"alias"	"2"
"aliases"	"SN2013cl,CSS130503:161932+244711"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+244711"
"galra"	"161931"
"host"	"A161931+2447"
"hvel"	"17700"
"maxday"	"2"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.059"
"sndec"	"+24:47:11.2"
"snra"	"16:19:31.59"
"photometry"	"timeunit"	"MJD"	"time"	"56414.5"	"abmag"	"17.9"	"source"	"2,1"
