"name"	"SN2001D"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"5"
"discoverer"	"LOTOSS"
"discovermonth"	"1"
"discoveryear"	"2001"
"galdec"	"-013603"
"galra"	"114451"
"host"	"IC 728"
"hvel"	"8534"
"maxday"	"21"
"maxmonth"	"1"
"maxyear"	"2001"
"redshift"	"0.0289"
"sndec"	"-013618.4"
"snra"	"114450.97"
"photometry"	"timeunit"	"MJD"	"time"	"51914.5"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51915.4"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51930.6"	"band"	"R"	"abmag"	"17.1"	"source"	"1,2"
