"name"	"PSN J08423251-8430255"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8324'>ATEL 8324</a>"	"alias"	"2"
"aliases"	"PSN J08423251-8430255,MASTER OT J084232.51-843025.5"
"discoverday"	"21"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2015"
"host"	"ESO 6-G4"
"maxday"	"21"
"maxmonth"	"11"
"maxyear"	"2015"
"sndec"	"-84:30:25.5"
"snra"	"08:42:32.51"
"photometry"	"timeunit"	"MJD"	"time"	"57347.5"	"abmag"	"17.1"	"source"	"2,1"
