"name"	"SN2009ki"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001900/CBET001988.txt'>CBET 1988</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ki,PTF09ps"
"claimedtype"	"Ic"
"discoverday"	"13"
"discoverer"	"PS1"
"discovermonth"	"6"
"discoveryear"	"2009"
"galdec"	"+554141"
"galra"	"161408"
"host"	"A161408+5541"
"hvel"	"30400"
"maxday"	"13"
"maxmonth"	"6"
"maxyear"	"2009"
"redshift"	"0.106"
"sndec"	"+55:41:41.9"
"snra"	"16:14:08.64"
"photometry"	"timeunit"	"MJD"	"time"	"54995.5"	"abmag"	"21.0"	"source"	"2,1"
