"name"	"SN2014R"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003809.txt'>CBET 3909</a>"	"alias"	"2"
"aliases"	"SN2014R,PS1-14mt"
"claimedtype"	"Ia-91T"
"discoverday"	"27"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"2"
"discoveryear"	"2014"
"galdec"	"+555109"
"galra"	"093012"
"host"	"UGC 5055"
"hvel"	"7455"
"maxday"	"27"
"maxmonth"	"2"
"maxyear"	"2014"
"redshift"	"0.025154"
"sndec"	"+55:51:13.5"
"snra"	"09:30:12.30"
"photometry"	"timeunit"	"MJD"	"time"	"56715.5"	"abmag"	"15.7"	"source"	"2,1"
