"name"	"SN2007se"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+004748"
"galra"	"221237"
"host"	"A221237+0047"
"hvel"	"49200"
"maxday"	"27"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.18"
"sndec"	"+004748.2"
"snra"	"221237.10"
"photometry"	"timeunit"	"MJD"	"time"	"54416.0"	"band"	"g"	"abmag"	"22.3"	"source"	"1"
