"name"	"PS1-13zc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS1-13zc,MLS101214:080034+192416"
"claimedtype"	"unk"
"discoverday"	"25"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2015"
"maxday"	"25"
"maxmonth"	"10"
"maxyear"	"2015"
"sndec"	"+19:24:16.7"
"snra"	"08:00:33.85"
"photometry"	"timeunit"	"MJD"	"time"	"57320.5"	"abmag"	"17.5"	"source"	"2,1"
