"name"	"SN2012gr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003308.txt'>CBET 3308</a>"	"alias"	"2"
"aliases"	"SN2012gr,PSN J03385564+1649435"
"claimedtype"	"IIP"
"discoverday"	"11"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2012"
"galdec"	"+164942"
"galra"	"033855"
"host"	"PGC 1517827"
"maxday"	"11"
"maxmonth"	"11"
"maxyear"	"2012"
"sndec"	"+16:49:43.5"
"snra"	"03:38:55.64"
"photometry"	"timeunit"	"MJD"	"time"	"56242.5"	"abmag"	"18.0"	"source"	"2,1"
