"name"	"PS15cev"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15cev,DES15C2eaz"
"claimedtype"	"II"
"discoverday"	"2"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2015"
"host"	"PGC 738925"
"maxday"	"2"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.062"
"sndec"	"-28:40:02.9"
"snra"	"03:40:21.46"
"photometry"	"timeunit"	"MJD"	"time"	"57297.5"	"abmag"	"19.7"	"source"	"2,1"
