"name"	"ASASSN-15fk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7259'>ATEL 7259</a>"	"alias"	"2"
"aliases"	"ASASSN-15fk,MASTER OT J054012.24-384842.1"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"18"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.035972"
"sndec"	"-38:48:42.5"
"snra"	"05:40:12.18"
"photometry"	"timeunit"	"MJD"	"time"	"57099.5"	"abmag"	"17.0"	"source"	"2,1"
