"name"	"SN2006nd"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-010023"
"galra"	"224459"
"host"	"A224459-0100"
"hvel"	"36500"
"maxday"	"11"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.13"
"sndec"	"-010023.8"
"snra"	"224459.06"
"photometry"	"timeunit"	"MJD"	"time"	"54036.0"	"band"	"g"	"abmag"	"22.1"	"source"	"1"
