"name"	"CSS151205:010307-011522"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://nesssi.cacr.caltech.edu/catalina/AllSN.html'>CRTS SN page</a>"	"alias"	"2"
"aliases"	"CSS151205:010307-011522"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2015"
"maxday"	"4"
"maxmonth"	"12"
"maxyear"	"2015"
"sndec"	"-01:15:22.4"
"snra"	"01:03:07.39"
"photometry"	"timeunit"	"MJD"	"time"	"57360.5"	"abmag"	"19.4"	"source"	"2,1"
