"name"	"SN2011bb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002683.txt'>CBET 2683</a>"	"alias"	"2"
"aliases"	"SN2011bb,PSN J11352709-3800549"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"CHASE"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"-380054"
"galra"	"113527"
"host"	"PGC 614263"
"maxday"	"13"
"maxmonth"	"3"
"maxyear"	"2011"
"sndec"	"-38:00:54.9"
"snra"	"11:35:27.09"
"photometry"	"timeunit"	"MJD"	"time"	"55633.5"	"abmag"	"16.6"	"source"	"2,1"
