"name"	"SN2000cm"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"Mueller"
"discovermonth"	"5"
"discoveryear"	"2000"
"galdec"	"+071800"
"galra"	"121259"
"host"	"A121259+0718"
"hvel"	"2170"
"maxday"	"4"
"maxmonth"	"6"
"maxyear"	"2000"
"redshift"	"0.00726"
"sndec"	"+071800.6"
"snra"	"121259.43"
"photometry"	"timeunit"	"MJD"	"time"	"51695.0"	"band"	"I"	"abmag"	"16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51699.87"	"band"	"C"	"abmag"	"14.95"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51700.86"	"band"	"C"	"abmag"	"15.35"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51710.87"	"band"	"R"	"abmag"	"15.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51712.0"	"band"	"C"	"abmag"	"15"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51718.93"	"band"	"C"	"abmag"	"15.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51725.87"	"band"	"R"	"abmag"	"16"	"source"	"1,2"
