"name"	"SN2012ig"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003364.txt'>CBET 3364</a>"	"alias"	"2"
"aliases"	"SN2012ig,PSN J21142287+1514407"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"Xing Gao et al."
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"+151439"
"galra"	"211422"
"host"	"UGC 11706"
"hvel"	"4736"
"maxday"	"2"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.015798"
"sndec"	"+15:14:40.7"
"snra"	"21:14:22.87"
"photometry"	"timeunit"	"MJD"	"time"	"55928.5"	"abmag"	"16.0"	"source"	"2,1"
