"name"	"SN2011gq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002856.txt'>CBET 2856</a>"	"alias"	"2"
"aliases"	"SN2011gq,PSN J21422844-1606305"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2011"
"galdec"	"-160630"
"galra"	"214228"
"host"	"PGC 902335"
"hvel"	"15900"
"maxday"	"27"
"maxmonth"	"9"
"maxyear"	"2011"
"redshift"	"0.053"
"sndec"	"-16:06:30.5"
"snra"	"21:42:28.44"
"photometry"	"timeunit"	"MJD"	"time"	"55831.5"	"abmag"	"19.2"	"source"	"2,1"
