"name"	"SN2007mz"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"6"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"-010411"
"galra"	"220751"
"host"	"A220751-0104"
"hvel"	"61200"
"maxday"	"16"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.23"
"sndec"	"-010411.8"
"snra"	"220751.20"
"photometry"	"timeunit"	"MJD"	"time"	"54379.0"	"band"	"g"	"abmag"	"22.2"	"source"	"1"
