"name"	"SN2002gf"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"9"
"discoveryear"	"2002"
"galdec"	"-000421"
"galra"	"205517"
"host"	"A205517-0004"
"hvel"	"25800"
"maxday"	"28"
"maxmonth"	"9"
"maxyear"	"2002"
"redshift"	"0.0901"
"sndec"	"-000421.4"
"snra"	"205517.88"
"photometry"	"timeunit"	"MJD"	"time"	"52544.11"	"band"	"C"	"abmag"	"19.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52545.0"	"band"	"C"	"abmag"	"19.3"	"source"	"1,2"
