"name"	"SN2004dh"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"A.M.Rajala et al., 2004, astro-ph/0411312"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"25"
"discoverer"	"LOSS"
"discovermonth"	"7"
"discoveryear"	"2004"
"galdec"	"+243347"
"galra"	"001800"
"host"	"M+04-01-48"
"hvel"	"5846"
"maxday"	"25"
"maxmonth"	"7"
"maxyear"	"2004"
"redshift"	"0.0197"
"sndec"	"+243344.5"
"snra"	"001800.39"
"photometry"	"timeunit"	"MJD"	"time"	"53211.33"	"band"	"B"	"abmag"	"18.36"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53211.33"	"band"	"I"	"abmag"	"17.39"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53211.33"	"band"	"R"	"abmag"	"17.58"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53211.33"	"band"	"V"	"abmag"	"17.91"	"source"	"1,2"
