"name"	"SN2002bo"
"source"	"name"	"<a href='https://www.nhn.ou.edu/~suspect/'>SUSPECT</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=astro-ph/0309665&amp;db_key=AST'>astro-ph/0309665</a>"	"alias"	"2"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"3"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"4"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"5"
"source"	"name"	"S.Benetti et al., 2004, MNRAS, 348, 261;  astro-ph/0309665"	"alias"	"6"
"source"	"name"	"M.Hicken et al., 2009, astro-ph/0901.4787"	"alias"	"7"
"source"	"name"	"G.M.Szabo et al., 2003, A&A, 408, 915; astro-ph/0306606"	"alias"	"8"
"source"	"name"	"K.Krisciunas et al., 2004, AJ, 128, 3034; astro-ph/0409036"	"alias"	"9"
"source"	"name"	"D.Yu.Tsvetkov, 2004 (Reference ""S70"" in S.Benetti et al. (astro-ph/0309665))"	"alias"	"10"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"11"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07800/07847.html#Item1'>IAUC 7847</a>"	"alias"	"12"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"13"
"aliases"	"SN2002bo"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"Paulo Cacella"
"discovermonth"	"4"
"discoveryear"	"2002"
"galdec"	"+214959"
"galra"	"101806"
"host"	"NGC 3190"
"hvel"	"1289"
"maxday"	"1"
"maxmonth"	"4"
"maxyear"	"2002"
"redshift"	"0.004"
"sndec"	"+21:49:41.2"
"snra"	"10:18:06.52"
"photometry"	"timeunit"	"MJD"	"time"	"52365.5"	"abmag"	"13.7"	"source"	"12,11"
"photometry"	"timeunit"	"MJD"	"time"	"52342.08"	"band"	"C"	"abmag"	"16.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52342.08"	"band"	"C"	"abmag"	"16.8"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52342.2"	"band"	"C"	"abmag"	"16.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52342.34"	"band"	"R"	"instrument"	"kait3"	"abmag"	"16.31400"	"aberr"	"0.03000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52342.34"	"band"	"I"	"instrument"	"kait3"	"abmag"	"16.39000"	"aberr"	"0.03300"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52342.34"	"band"	"B"	"instrument"	"kait3"	"abmag"	"17.31900"	"aberr"	"0.07800"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52342.4"	"band"	"C"	"abmag"	"16"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52342.45"	"band"	"R"	"abmag"	"15.9"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52342.45"	"band"	"I"	"abmag"	"15.86"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52342.45"	"band"	"B"	"abmag"	"16.94"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52342.45"	"band"	"V"	"abmag"	"16.22"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52342.5"	"band"	"C"	"abmag"	"15.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52342.6"	"band"	"C"	"abmag"	"14.6"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52343.1"	"band"	"C"	"abmag"	"16.2"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52343.4"	"band"	"R"	"abmag"	"15.6"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52343.51"	"band"	"R"	"abmag"	"15.37"	"aberr"	"0.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52343.51"	"band"	"I"	"abmag"	"15.43"	"aberr"	"0.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52343.51"	"band"	"B"	"abmag"	"16.3"	"aberr"	"0.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52343.51"	"band"	"V"	"abmag"	"15.71"	"aberr"	"0.12"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52343.74715"	"band"	"U"	"abmag"	"16.332"	"aberr"	"0.041"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52343.75041"	"band"	"B"	"abmag"	"16.209"	"aberr"	"0.028"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52343.75288"	"band"	"V"	"abmag"	"15.677"	"aberr"	"0.017"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52343.75468"	"band"	"R"	"abmag"	"15.313"	"aberr"	"0.015"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52343.75613"	"band"	"I"	"abmag"	"15.28"	"aberr"	"0.018"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52343.79"	"band"	"I"	"abmag"	"15.7"	"source"	"4,8"
"photometry"	"timeunit"	"MJD"	"time"	"52343.79"	"band"	"R"	"abmag"	"15.47"	"source"	"4,8"
"photometry"	"timeunit"	"MJD"	"time"	"52343.79"	"band"	"V"	"abmag"	"15.73"	"source"	"4,8"
"photometry"	"timeunit"	"MJD"	"time"	"52343.82"	"band"	"R"	"abmag"	"15.2"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52343.83"	"band"	"R"	"abmag"	"15.6"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52343.93"	"band"	"C"	"abmag"	"15.7"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52344.0"	"band"	"C"	"abmag"	"15.7"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52344.52"	"band"	"R"	"abmag"	"14.93"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52344.52"	"band"	"I"	"abmag"	"14.95"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52344.52"	"band"	"B"	"abmag"	"15.72"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52344.52"	"band"	"V"	"abmag"	"15.22"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52344.76"	"band"	"I"	"abmag"	"15.18"	"source"	"4,8"
"photometry"	"timeunit"	"MJD"	"time"	"52344.76"	"band"	"R"	"abmag"	"15.02"	"source"	"4,8"
"photometry"	"timeunit"	"MJD"	"time"	"52344.76"	"band"	"V"	"abmag"	"15.32"	"source"	"4,8"
"photometry"	"timeunit"	"MJD"	"time"	"52344.81095"	"band"	"U"	"abmag"	"15.914"	"aberr"	"0.044"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52344.81413"	"band"	"B"	"abmag"	"15.825"	"aberr"	"0.033"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52344.81661"	"band"	"V"	"abmag"	"15.29"	"aberr"	"0.017"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52344.81841"	"band"	"R"	"abmag"	"14.92"	"aberr"	"0.015"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52344.82679"	"band"	"R"	"abmag"	"14.91"	"aberr"	"0.016"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52344.82822"	"band"	"I"	"abmag"	"14.896"	"aberr"	"0.024"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52344.83757"	"band"	"R"	"abmag"	"14.898"	"aberr"	"0.015"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52344.95"	"band"	"C"	"abmag"	"14.8"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52345.17"	"band"	"B"	"abmag"	"15.72"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52345.17"	"band"	"I"	"abmag"	"14.91"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52345.17"	"band"	"R"	"abmag"	"14.91"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52345.17"	"band"	"U"	"abmag"	"16.3"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52345.17"	"band"	"V"	"abmag"	"15.28"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52345.2"	"band"	"V"	"abmag"	"15.25"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52345.33"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.85900"	"aberr"	"0.01200"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52345.33"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.88900"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52345.33"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.24500"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52345.33"	"band"	"B"	"instrument"	"kait3"	"abmag"	"15.64800"	"aberr"	"0.01200"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52345.49"	"band"	"R"	"abmag"	"14.55"	"aberr"	"0.05"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52345.49"	"band"	"I"	"abmag"	"14.56"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52345.49"	"band"	"B"	"abmag"	"15.33"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52345.49"	"band"	"V"	"abmag"	"14.93"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52345.71294"	"band"	"U"	"abmag"	"15.31"	"aberr"	"0.044"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52345.71618"	"band"	"B"	"abmag"	"15.375"	"aberr"	"0.028"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52345.71868"	"band"	"V"	"abmag"	"14.976"	"aberr"	"0.016"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52345.72049"	"band"	"R"	"abmag"	"14.685"	"aberr"	"0.029"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52345.72193"	"band"	"I"	"abmag"	"14.568"	"aberr"	"0.02"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52345.88"	"band"	"R"	"abmag"	"15.3"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52346.13"	"band"	"C"	"abmag"	"13.99"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52346.18"	"band"	"B"	"abmag"	"15.36"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52346.18"	"band"	"I"	"abmag"	"14.56"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52346.18"	"band"	"R"	"abmag"	"14.58"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52346.18"	"band"	"U"	"abmag"	"15.81"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52346.18"	"band"	"V"	"abmag"	"14.95"	"source"	"4,9"
"photometry"	"timeunit"	"MJD"	"time"	"52346.31"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.56600"	"aberr"	"0.02400"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52346.31"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.93500"	"aberr"	"0.01200"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52346.31"	"band"	"B"	"instrument"	"kait3"	"abmag"	"15.26100"	"aberr"	"0.01300"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"52346.42"	"band"	"R"	"abmag"	"14.32"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52346.42"	"band"	"I"	"abmag"	"14.3"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52346.42"	"band"	"B"	"abmag"	"15.11"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52346.42"	"band"	"V"	"abmag"	"14.71"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52346.89"	"band"	"C"	"abmag"	"14.2"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52347.52"	"band"	"B"	"abmag"	"14.83"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52347.61669"	"band"	"U"	"abmag"	"14.713"	"aberr"	"0.03"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52347.61993"	"band"	"B"	"abmag"	"14.822"	"aberr"	"0.017"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52347.62243"	"band"	"V"	"abmag"	"14.477"	"aberr"	"0.014"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52347.62424"	"band"	"R"	"abmag"	"14.146"	"aberr"	"0.015"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52347.62568"	"band"	"I"	"abmag"	"14.089"	"aberr"	"0.015"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"52347.84"	"band"	"C"	"abmag"	"13.94"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"52347.85"	"band"	"R"	"abmag"	"14.5"	"source"	"4,5"
