"name"	"PSN J22461408-0750543"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J22461408-0750543.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J22461408-0750543,SNhunt215"
"claimedtype"	"unk"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2013"
"maxday"	"21"
"maxmonth"	"10"
"maxyear"	"2013"
"sndec"	"-07:50:54.3"
"snra"	"22:46:14.08"
"photometry"	"timeunit"	"MJD"	"time"	"56586.5"	"abmag"	"19.7"	"source"	"2,1"
