"name"	"SN1998en"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"24"
"discoverer"	"LOSS"
"discovermonth"	"11"
"discoveryear"	"1998"
"galdec"	"+504050"
"galra"	"070401"
"host"	"UGC 3645"
"hvel"	"6300"
"maxday"	"24"
"maxmonth"	"11"
"maxyear"	"1998"
"redshift"	"0.0212"
"sndec"	"+504030.0"
"snra"	"070400.05"
"photometry"	"timeunit"	"MJD"	"time"	"51141.13"	"band"	"C"	"abmag"	"18.5"	"source"	"1,2"
