"name"	"SN2010am"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002208.txt'>CBET 2208</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010am,CSS100312:093302+154909"
"claimedtype"	"IIb"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"+154908"
"galra"	"093301"
"host"	"A093301+1549"
"hvel"	"6000"
"maxday"	"11"
"maxmonth"	"3"
"maxyear"	"2010"
"redshift"	"0.02"
"sndec"	"+15:49:08.8"
"snra"	"09:33:01.75"
"photometry"	"timeunit"	"MJD"	"time"	"55266.5"	"abmag"	"17.3"	"source"	"2,1"
