"name"	"SN2009dy"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001791.txt'>CBET 1791</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009dy,CSS090422:150104+431314"
"claimedtype"	"unk"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2009"
"galdec"	"+431313"
"galra"	"150104"
"host"	"A150104+4313"
"hvel"	"26700"
"maxday"	"21"
"maxmonth"	"4"
"maxyear"	"2009"
"redshift"	"0.089"
"sndec"	"+43:13:13.9"
"snra"	"15:01:04.03"
"photometry"	"timeunit"	"MJD"	"time"	"54942.5"	"abmag"	"18.4"	"source"	"2,1"
