"name"	"SN1995U"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/06100/06197.html'>IAUC 6197</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN1995U"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"Robert McNaught"
"discovermonth"	"7"
"discoveryear"	"1995"
"galdec"	"-512221"
"galra"	"205442"
"host"	"ESO 235-IG13"
"hvel"	"16680"
"maxday"	"28"
"maxmonth"	"7"
"maxyear"	"1995"
"redshift"	"0.0573"
"sndec"	"-51:22:26.8"
"snra"	"20:54:40.62"
"photometry"	"timeunit"	"MJD"	"time"	"49926.5"	"abmag"	"18.0"	"source"	"2,1"
