"name"	"SN2009jd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001900/CBET001950.txt'>CBET 1950</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009jd,CSS090919:002956-043451"
"claimedtype"	"II"
"discoverday"	"18"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2009"
"galdec"	"-043511"
"galra"	"002955"
"host"	"A002955-0434"
"hvel"	"7546"
"maxday"	"18"
"maxmonth"	"9"
"maxyear"	"2009"
"redshift"	"0.0252"
"sndec"	"-04:34:50.7"
"snra"	"00:29:56.04"
"photometry"	"timeunit"	"MJD"	"time"	"55092.5"	"abmag"	"18.4"	"source"	"2,1"
