"name"	"SN2009nt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002131.txt'>CBET 2131</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009nt,CSS091120:231103+202620"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"+202619"
"galra"	"231103"
"host"	"A231103+2026"
"hvel"	"28500"
"maxday"	"19"
"maxmonth"	"11"
"maxyear"	"2009"
"redshift"	"0.1"
"sndec"	"+20:26:19.6"
"snra"	"23:11:03.12"
"photometry"	"timeunit"	"MJD"	"time"	"55154.5"	"abmag"	"19.6"	"source"	"2,1"
