"name"	"SN2005mt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=411'>ATEL 411</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2005mt,SNF20050203-000"
"claimedtype"	"IIn"
"discoverday"	"2"
"discoverer"	"Nearby Supernova Factory"
"discovermonth"	"2"
"discoveryear"	"2005"
"galdec"	"-034450"
"galra"	"102412"
"host"	"A102412-0344"
"maxday"	"2"
"maxmonth"	"2"
"maxyear"	"2005"
"sndec"	"-03:44:50.6"
"snra"	"10:24:12.9"
"photometry"	"timeunit"	"MJD"	"time"	"53403.5"	"abmag"	"18.0"	"source"	"2,1"
