"name"	"SN1999bx"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"ISN and VSNET 1999"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"26"
"discoverer"	"LOSS"
"discovermonth"	"4"
"discoveryear"	"1999"
"galdec"	"+404437"
"galra"	"190142"
"host"	"NGC 6745"
"hvel"	"4545"
"maxday"	"2"
"maxmonth"	"5"
"maxyear"	"1999"
"redshift"	"0.0153"
"sndec"	"+404452.0"
"snra"	"190141.39"
"photometry"	"timeunit"	"MJD"	"time"	"51294.5"	"band"	"C"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51297.58"	"band"	"C"	"abmag"	"15.78"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51300.63"	"band"	"C"	"abmag"	"15.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51305.7"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
