"name"	"SN2015H"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004000/CBET004093.txt'>CBET 4093</a>"	"alias"	"2"
"aliases"	"SN2015H,PSN J10544216-2104138"
"claimedtype"	"Ia-pec"
"discoverday"	"11"
"discoverer"	"Stu Parker"
"discovermonth"	"2"
"discoveryear"	"2015"
"galdec"	"-210400"
"galra"	"105440"
"host"	"NGC 3464"
"hvel"	"3806"
"maxday"	"11"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.01246"
"sndec"	"-21:04:13.8"
"snra"	"10:54:42.16"
"photometry"	"timeunit"	"MJD"	"time"	"57064.5"	"abmag"	"16.0"	"source"	"2,1"
