"name"	"SN2012bg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003064.txt'>CBET 3064</a>"	"alias"	"2"
"aliases"	"SN2012bg,CSS120219:112911+360021"
"claimedtype"	"IIP"
"discoverday"	"18"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"+360020"
"galra"	"112911"
"host"	"A112911+3600"
"hvel"	"9900"
"maxday"	"18"
"maxmonth"	"2"
"maxyear"	"2012"
"redshift"	"0.033"
"sndec"	"+36:00:20.6"
"snra"	"11:29:11.20"
"photometry"	"timeunit"	"MJD"	"time"	"55975.5"	"abmag"	"18.3"	"source"	"2,1"
