"name"	"SN2011az"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002680.txt'>CBET 2680</a>"	"alias"	"2"
"aliases"	"SN2011az,PSN J12535343+3605193"
"claimedtype"	"IIP"
"discoverday"	"17"
"discoverer"	"Maurice Gavin"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+360513"
"galra"	"125353"
"host"	"IC 3862"
"hvel"	"4384"
"maxday"	"17"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.014"
"sndec"	"+36:05:19.2"
"snra"	"12:53:53.43"
"photometry"	"timeunit"	"MJD"	"time"	"55637.5"	"abmag"	"15.3"	"source"	"2,1"
