"name"	"PSN J02292569-4304517"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J02292569-4304517.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J02292569-4304517,SNhunt105"
"claimedtype"	"unk"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2012"
"host"	"IC 1810"
"maxday"	"11"
"maxmonth"	"2"
"maxyear"	"2012"
"sndec"	"-43:04:51.7"
"snra"	"02:29:25.69"
"photometry"	"timeunit"	"MJD"	"time"	"55968.5"	"abmag"	"15.6"	"source"	"2,1"
